Source,RA,DEC,Plx,Gmag,BPmag,RPmag
659983645575610240,133.35445833333333,18.401833333333332,5.3352,14.78,15.6778,13.8442
660861704393470848,133.35516666666666,20.233083333333333,6.2252,18.7477,20.5856,17.361
685772927027999232,133.35820833333335,21.554555555555556,4.6712,20.5473,21.4853,19.105801
611917017298087552,133.36433333333332,17.975944444444444,5.1783,16.5214,17.937099,15.3254
692447237485613056,133.366625,26.181194444444447,5.0487,19.7968,21.1429,18.346701
686182602483445504,133.36670833333332,22.77038888888889,5.8105,18.2417,20.0242,16.920799
692528463907514368,133.37233333333333,26.811583333333335,4.8778,19.7625,21.150499,18.309
611694572352053504,133.37745833333335,16.988500000000002,5.3559,9.36229,9.58155,9.03124
611689448454841600,133.38449999999997,16.846249999999998,4.8101,18.6902,20.205799,17.3501
660862052286909312,133.3874583333333,20.248222222222225,5.3685,16.9456,18.565201,15.6925
686120681938916224,133.401,22.41413888888889,5.1076,17.5751,19.3531,16.282301
611866989519285120,133.40154166666667,17.541472222222225,5.0154,20.9252,20.5291,19.531401
611443230866052608,133.4155,16.228638888888888,6.0515,16.2944,17.982901,15.0179
609096009764247936,133.421875,15.35475,4.8887,20.8761,21.308701,19.474001
660478013490829056,133.44433333333333,19.303916666666666,4.9391,14.1345,15.0479,13.1895
660768520784139648,133.46970833333333,19.65775,5.1673,20.8563,21.303499,19.470301
690056834783473920,133.47016666666664,24.939138888888888,5.0479,14.0682,14.9074,13.1783
608178059287872384,133.47641666666667,13.332944444444443,4.8308,19.5705,21.1523,18.09
608992934842880128,133.48024999999998,14.828861111111111,5.0078,17.2156,18.1514,15.861
685803477130074240,133.484375,21.78161111111111,6.0664,9.13957,9.36529,8.80098
660362216878103168,133.493875,18.581527777777776,5.7242,20.9469,21.050699,19.202801
689646132830625920,133.50979166666667,23.823,5.7294,15.8385,17.2693,14.6584
611807749039592704,133.51612500000002,17.32186111111111,6.1161,19.6574,21.065901,18.129499
660348335542434048,133.52070833333335,18.447444444444443,5.7466,18.0168,19.753401,16.6826
689740823973267456,133.52570833333334,24.324444444444445,6.4532,17.7168,19.586599,16.409201
705800123306482176,133.54908333333333,30.124222222222222,5.6201,14.163,15.073,13.2248
660474229625369088,133.56054166666667,19.274583333333332,5.5374,20.9559,21.5767,19.516001
685805259540481664,133.57004166666667,21.734416666666668,5.2705,12.8857,13.5173,12.1297
685806775664988928,133.619875,21.818305555555554,5.9153,18.2229,20.1961,16.8899
660902867361570432,133.62795833333334,20.697166666666668,4.8393,20.5129,21.764099,19.154699
689627161958915328,133.65679166666666,23.597944444444444,6.1704,18.2878,20.247101,16.9447
685782066717478016,133.67470833333334,21.53891666666667,5.0844,18.3948,20.0807,17.0937
692854709623135872,133.68804166666666,27.48902777777778,5.1614,19.4803,20.9963,18.0765
686204661435461248,133.68991666666668,22.840638888888886,6.6383,15.1976,16.422701,14.1007
685792688172260608,133.69045833333334,21.699361111111113,6.0043,17.3132,19.011801,16.031099
660776595321126656,133.69558333333336,19.786416666666668,5.5059,18.6842,20.327,17.288601
684924555022699648,133.70029166666666,20.805472222222225,5.5597,14.2114,15.1356,13.2637
608783026905699328,133.71379166666665,14.495583333333332,4.8623,9.26157,9.51152,8.89135
686154977253836800,133.7336666666667,22.708583333333333,4.9722,15.1926,16.3736,14.1144
